,ts,type,Market,Side,event,details,ev,strategy
0,2026-03-11T03:38:31.145Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
1,2026-03-11T03:38:31.145Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
2,2026-03-11T03:38:30.142Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Price feed invalid,0,unknown
3,2026-03-11T03:38:30.142Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Price feed invalid,0,unknown
4,2026-03-11T03:38:29.139Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
5,2026-03-11T03:38:29.139Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
6,2026-03-11T03:38:28.136Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Price feed invalid,0,unknown
7,2026-03-11T03:38:28.136Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Price feed invalid,0,unknown
8,2026-03-11T03:38:27.132Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
9,2026-03-11T03:38:27.132Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
10,2026-03-11T03:38:26.127Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
11,2026-03-11T03:38:26.127Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
13,2026-03-11T03:38:25.123Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
12,2026-03-11T03:38:25.123Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
14,2026-03-11T03:38:24.115Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
15,2026-03-11T03:38:24.115Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
16,2026-03-11T03:38:23.110Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
17,2026-03-11T03:38:23.110Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
18,2026-03-11T03:38:22.104Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
19,2026-03-11T03:38:22.104Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
20,2026-03-11T03:38:21.100Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
21,2026-03-11T03:38:21.100Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
22,2026-03-11T03:38:20.094Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
23,2026-03-11T03:38:20.094Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
25,2026-03-11T03:38:19.086Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
24,2026-03-11T03:38:19.086Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
26,2026-03-11T03:38:18.081Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
27,2026-03-11T03:38:18.081Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
28,2026-03-11T03:38:17.076Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
29,2026-03-11T03:38:17.076Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
30,2026-03-11T03:38:16.074Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Slippage risk high,0,unknown
31,2026-03-11T03:38:16.074Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
32,2026-03-11T03:38:15.071Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
33,2026-03-11T03:38:15.071Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
